ticket_id,agent_id,status,resolution_time,category
TKT02089,A022,Pending,1h 19m 26s,Returns
TKT02090,A042,Resolved,0h 48m 34s,General
TKT02091,A003,Resolved,2h 18m 8s,Returns
TKT02092,A043,Resolved,1h 5m 19s,Technical
TKT02093,A041,Resolved,1h 57m 12s,Billing
TKT02094,A010,Pending,0h 48m 39s,Billing
TKT02095,A032,Resolved,2h 5m 59s,Returns
TKT02096,A040,Pending,0h 35m 42s,Billing
TKT02097,A017,Pending,1h 38m 26s,Technical
TKT02098,A001,Resolved,1h 19m 43s,Technical
TKT02099,A035,Resolved,1h 44m 19s,Returns
TKT02100,A029,Resolved,1h 29m 56s,Returns
TKT02101,A048,Resolved,0h 54m 18s,Returns
TKT02102,A031,Open,0h 34m 11s,General
TKT02103,A012,Open,0h 42m 22s,Technical
TKT02104,A001,Open,1h 6m 57s,Delivery
TKT02105,A013,Pending,2h 33m 43s,Billing
TKT02106,A048,Open,1h 44m 36s,Delivery
TKT02107,A015,Pending,1h 23m 36s,Technical
TKT02108,A010,Resolved,0h 0m 9s,Billing
TKT02109,A015,Resolved,1h 28m 7s,Returns
TKT02110,A001,Resolved,1h 36m 28s,Delivery
TKT02111,A006,Open,1h 26m 25s,Delivery
TKT02112,A024,Pending,2h 25m 56s,General
TKT02113,A027,Pending,1h 18m 4s,Billing
TKT02114,A023,Resolved,0h 56m 32s,General
TKT02115,A035,Resolved,0h 44m 54s,General
TKT02116,A016,Resolved,1h 25m 43s,General
TKT02117,A021,Open,0h 13m 53s,Technical
TKT02118,A012,Resolved,1h 51m 55s,General
TKT02119,A017,Pending,2h 21m 52s,Billing
TKT02120,A016,Open,1h 31m 4s,Technical
TKT02121,A011,Open,0h 23m 56s,General
TKT02122,A031,Resolved,0h 40m 18s,Returns
TKT02123,A048,Resolved,1h 54m 0s,Billing
TKT02124,A041,Resolved,0h 2m 24s,General
TKT02125,A035,Resolved,1h 4m 4s,Returns
TKT02126,A007,Pending,0h 27m 40s,Returns
TKT02127,A049,Pending,0h 56m 25s,Returns
TKT02128,A027,Open,0h 58m 27s,Billing
TKT02129,A043,Open,1h 16m 30s,Delivery
TKT02130,A034,Pending,2h 4m 10s,Billing
TKT02131,A030,Open,0h 39m 1s,Billing
TKT02132,A050,Resolved,2h 0m 31s,Returns
TKT02133,A035,Pending,0h 58m 44s,Returns
TKT02134,A012,Resolved,0h 29m 24s,Returns
TKT02135,A023,Pending,1h 33m 12s,General
TKT02136,A039,Resolved,0h 55m 21s,Delivery
TKT02137,A049,Resolved,0h 59m 37s,Delivery
TKT02138,A022,Resolved,0h 44m 12s,General
TKT02139,A001,Open,1h 53m 24s,Delivery
TKT02140,A027,Resolved,0h 4m 25s,Technical
TKT02141,A039,Resolved,0h 52m 27s,Returns
TKT02142,A022,Open,2h 28m 1s,Delivery
TKT02143,A045,Pending,2h 30m 22s,Returns
TKT02144,A044,Pending,1h 57m 59s,Technical
TKT02145,A036,Pending,1h 6m 32s,Technical
TKT02146,A034,Open,1h 50m 19s,Returns
TKT02147,A005,Pending,1h 28m 21s,Technical
TKT02148,A048,Resolved,0h 8m 9s,General
TKT02149,A020,Pending,2h 50m 29s,Technical
TKT02150,A043,Resolved,0h 56m 44s,Technical
TKT02151,A010,Pending,0h 55m 37s,Delivery
TKT02152,A043,Resolved,0h 54m 41s,Delivery
TKT02153,A009,Open,0h 38m 25s,General
TKT02154,A003,Resolved,2h 14m 28s,General
TKT02155,A024,Pending,0h 57m 56s,General
TKT02156,A003,Open,2h 15m 52s,Returns
TKT02157,A030,Resolved,2h 59m 16s,General
TKT02158,A019,Pending,0h 16m 24s,Billing
TKT02159,A027,Pending,0h 19m 57s,General
TKT02160,A017,Resolved,1h 40m 44s,Returns
TKT02161,A047,Pending,2h 0m 5s,Delivery
TKT02162,A044,Resolved,1h 34m 45s,Technical
TKT02163,A035,Open,1h 54m 17s,Billing
TKT02164,A007,Pending,0h 52m 29s,General
TKT02165,A015,Resolved,2h 10m 1s,Delivery
TKT02166,A018,Resolved,1h 58m 8s,Billing
TKT02167,A041,Pending,0h 42m 26s,Delivery
TKT02168,A040,Open,0h 3m 37s,Technical
TKT02169,A022,Pending,2h 20m 7s,Returns
TKT02170,A030,Pending,0h 24m 8s,Technical
TKT02171,A028,Resolved,1h 39m 0s,Billing
TKT02172,A036,Pending,1h 17m 47s,Delivery
TKT02173,A027,Resolved,0h 13m 0s,General
TKT02174,A045,Open,0h 33m 16s,Returns
TKT02175,A001,Resolved,0h 17m 42s,Returns
TKT02176,A020,Resolved,1h 38m 3s,General
TKT02177,A005,Pending,1h 33m 6s,Delivery
TKT02178,A001,Resolved,0h 28m 23s,Returns
TKT02179,A029,Open,0h 37m 2s,Delivery
TKT02180,A029,Pending,1h 10m 2s,Billing
TKT02181,A023,Open,2h 27m 5s,General
TKT02182,A014,Pending,1h 28m 49s,Returns
TKT02183,A045,Resolved,2h 12m 54s,Technical
TKT02184,A043,Pending,1h 33m 42s,Billing
TKT02185,A024,Resolved,1h 31m 5s,Technical
TKT02186,A011,Open,0h 49m 36s,Billing
TKT02187,A021,Pending,1h 3m 29s,Returns
TKT02188,A049,Open,1h 55m 45s,General
TKT02189,A024,Resolved,2h 44m 38s,Billing
TKT02190,A036,Resolved,0h 56m 11s,Billing
TKT02191,A034,Open,1h 9m 11s,Technical
TKT02192,A036,Resolved,2h 58m 44s,Billing
TKT02193,A026,Resolved,0h 49m 54s,Technical
TKT02194,A021,Resolved,2h 39m 43s,General
TKT02195,A021,Open,1h 6m 39s,General
TKT02196,A049,Open,2h 42m 7s,General
TKT02197,A045,Pending,0h 22m 35s,Delivery
TKT02198,A013,Pending,0h 7m 25s,General
TKT02199,A035,Resolved,0h 56m 3s,Technical
TKT02200,A050,Resolved,0h 5m 48s,Billing
TKT02201,A044,Open,2h 33m 35s,General
TKT02202,A022,Resolved,0h 42m 53s,Technical
TKT02203,A033,Open,1h 20m 46s,General
TKT02204,A001,Open,0h 23m 4s,General
TKT02205,A007,Resolved,0h 26m 48s,Returns
TKT02206,A036,Open,0h 8m 20s,General
TKT02207,A039,Resolved,0h 26m 28s,Technical
TKT02208,A002,Open,2h 54m 34s,Billing
TKT02209,A010,Pending,0h 45m 11s,Returns
TKT02210,A042,Resolved,1h 2m 16s,Technical
TKT02211,A010,Pending,0h 19m 15s,Billing
TKT02212,A009,Pending,2h 59m 48s,Delivery
TKT02213,A045,Pending,0h 46m 46s,Technical
TKT02214,A050,Open,2h 10m 57s,Billing
TKT02215,A043,Resolved,1h 37m 54s,Returns
TKT02216,A025,Pending,1h 14m 24s,Billing
TKT02217,A022,Resolved,1h 49m 14s,Returns
TKT02218,A050,Pending,2h 53m 40s,Delivery
TKT02219,A019,Resolved,0h 43m 9s,Delivery
TKT02220,A023,Open,0h 5m 59s,General
TKT02221,A002,Open,2h 4m 47s,Returns
TKT02222,A003,Resolved,1h 2m 31s,General
TKT02223,A048,Pending,0h 36m 41s,General
TKT02224,A028,Resolved,1h 12m 29s,Returns
TKT02225,A018,Open,2h 44m 39s,Delivery
TKT02226,A039,Open,2h 54m 10s,Billing
TKT02227,A018,Resolved,1h 49m 39s,Billing
TKT02228,A036,Resolved,2h 34m 55s,Delivery
TKT02229,A043,Resolved,1h 34m 38s,Delivery
TKT02230,A036,Pending,1h 32m 44s,Technical
TKT02231,A046,Pending,0h 45m 59s,Returns
TKT02232,A014,Open,2h 0m 30s,Technical
TKT02233,A022,Resolved,1h 3m 21s,General
TKT02234,A020,Open,0h 42m 45s,Returns
TKT02235,A005,Resolved,2h 31m 38s,Delivery
TKT02236,A045,Resolved,0h 10m 2s,Technical
TKT02237,A049,Resolved,2h 12m 25s,General
TKT02238,A049,Resolved,2h 45m 56s,Delivery
TKT02239,A008,Open,2h 41m 5s,Billing
TKT02240,A034,Resolved,0h 52m 12s,Billing
TKT02241,A044,Open,1h 50m 14s,Technical
TKT02242,A047,Resolved,2h 0m 59s,Technical
TKT02243,A040,Resolved,1h 53m 35s,Billing
TKT02244,A045,Resolved,1h 32m 37s,Delivery
TKT02245,A034,Resolved,1h 14m 47s,Technical
TKT02246,A018,Pending,1h 49m 9s,Technical
TKT02247,A024,Resolved,1h 40m 54s,Delivery
TKT02248,A006,Resolved,0h 43m 8s,Billing
TKT02249,A043,Resolved,2h 40m 35s,Delivery
TKT02250,A025,Pending,0h 23m 1s,Returns
TKT02251,A019,Resolved,2h 40m 44s,Technical
TKT02252,A048,Resolved,0h 21m 16s,General
TKT02253,A016,Resolved,1h 52m 17s,General
TKT02254,A002,Resolved,0h 49m 49s,Returns
TKT02255,A023,Resolved,0h 54m 23s,Technical
TKT02256,A008,Resolved,1h 13m 58s,Returns
TKT02257,A010,Resolved,0h 29m 43s,Delivery
TKT02258,A050,Open,1h 35m 41s,Delivery
TKT02259,A050,Resolved,0h 41m 29s,Returns
TKT02260,A009,Resolved,1h 11m 51s,Delivery
TKT02261,A029,Pending,2h 18m 12s,Technical
TKT02262,A031,Pending,1h 18m 36s,Delivery
TKT02263,A043,Resolved,1h 19m 41s,General
TKT02264,A002,Open,2h 27m 14s,Billing
TKT02265,A042,Open,1h 11m 0s,Billing
TKT02266,A041,Resolved,1h 20m 26s,Returns
TKT02267,A018,Pending,1h 55m 3s,General
TKT02268,A035,Resolved,0h 24m 11s,Billing
TKT02269,A028,Open,0h 1m 3s,Billing
TKT02270,A028,Open,1h 37m 44s,Returns
TKT02271,A003,Pending,0h 40m 59s,Billing
TKT02272,A020,Open,1h 12m 27s,Returns
TKT02273,A031,Open,2h 47m 53s,Billing
TKT02274,A039,Open,1h 20m 16s,Delivery
TKT02275,A008,Pending,1h 50m 1s,Delivery
TKT02276,A013,Resolved,1h 27m 46s,Delivery
TKT02277,A008,Pending,0h 46m 39s,Technical
TKT02278,A007,Resolved,1h 42m 2s,Billing
TKT02279,A003,Resolved,1h 24m 17s,Returns
TKT02280,A034,Resolved,0h 1m 28s,General
TKT02281,A046,Open,1h 30m 54s,Billing
TKT02282,A040,Resolved,1h 48m 9s,General
TKT02283,A018,Resolved,1h 14m 51s,Returns
TKT02284,A033,Resolved,2h 24m 13s,Technical
TKT02285,A043,Resolved,1h 2m 21s,Billing
TKT02286,A006,Pending,0h 42m 46s,Billing
TKT02287,A033,Resolved,2h 45m 39s,Billing
TKT02288,A020,Resolved,1h 35m 30s,Returns
TKT02289,A028,Pending,2h 7m 45s,Billing
TKT02290,A018,Resolved,1h 11m 20s,Technical
TKT02291,A045,Pending,0h 35m 46s,General
TKT02292,A002,Resolved,1h 39m 28s,Delivery
TKT02293,A012,Open,2h 27m 54s,General
TKT02294,A004,Pending,2h 34m 37s,Billing
TKT02295,A023,Open,1h 16m 30s,Returns
TKT02296,A021,Open,1h 57m 40s,Delivery
TKT02297,A028,Resolved,1h 54m 18s,Technical
TKT02298,A034,Open,2h 44m 13s,Returns
TKT02299,A002,Open,1h 2m 34s,Returns
TKT02300,A050,Resolved,2h 44m 20s,Returns
TKT02301,A037,Resolved,0h 39m 6s,Delivery
TKT02302,A042,Open,1h 4m 10s,Technical
TKT02303,A009,Pending,2h 3m 29s,Billing
TKT02304,A004,Pending,0h 26m 40s,Technical
TKT02305,A012,Resolved,1h 48m 52s,Returns
TKT02306,A033,Resolved,2h 27m 36s,Delivery
TKT02307,A026,Pending,2h 6m 46s,General
TKT02308,A018,Open,1h 6m 15s,Billing
TKT02309,A022,Pending,0h 6m 14s,General
TKT02310,A050,Resolved,2h 49m 34s,Billing
TKT02311,A017,Resolved,0h 34m 0s,Delivery
TKT02312,A027,Pending,0h 47m 45s,General
TKT02313,A028,Open,1h 45m 45s,Returns
TKT02314,A026,Open,0h 10m 6s,Returns
TKT02315,A010,Pending,1h 17m 57s,General
TKT02316,A016,Resolved,1h 11m 51s,General
TKT02317,A045,Resolved,2h 33m 55s,Delivery
TKT02318,A032,Open,1h 59m 24s,Billing
TKT02319,A009,Resolved,2h 38m 17s,Delivery
TKT02320,A026,Resolved,2h 57m 0s,Billing
TKT02321,A018,Resolved,0h 41m 10s,Technical
TKT02322,A009,Open,2h 29m 6s,Delivery
TKT02323,A007,Pending,2h 23m 58s,Returns
TKT02324,A049,Resolved,0h 18m 14s,Technical
TKT02325,A033,Resolved,0h 23m 42s,Billing
TKT02326,A049,Open,2h 22m 46s,General
TKT02327,A019,Pending,2h 31m 45s,Billing
TKT02328,A025,Open,2h 56m 21s,Billing
TKT02329,A030,Open,2h 46m 6s,Delivery
TKT02330,A030,Pending,0h 22m 50s,Returns
TKT02331,A028,Pending,2h 1m 58s,Technical
TKT02332,A040,Open,0h 45m 59s,Returns
TKT02333,A006,Resolved,0h 44m 30s,Technical
TKT02334,A029,Pending,2h 40m 7s,Technical
TKT02335,A022,Resolved,1h 27m 36s,Returns
TKT02336,A015,Pending,1h 36m 1s,Billing
TKT02337,A024,Resolved,1h 33m 0s,General
TKT02338,A032,Resolved,0h 35m 59s,Technical
TKT02339,A007,Resolved,2h 1m 23s,General
TKT02340,A043,Pending,1h 25m 11s,Technical
TKT02341,A048,Resolved,1h 6m 42s,Technical
TKT02342,A020,Open,0h 43m 23s,Billing
TKT02343,A049,Pending,2h 39m 27s,Delivery
TKT02344,A042,Resolved,1h 0m 27s,Billing
TKT02345,A048,Pending,0h 12m 48s,Billing
TKT02346,A029,Resolved,1h 40m 43s,Technical
TKT02347,A020,Pending,2h 44m 45s,Returns
TKT02348,A038,Resolved,1h 52m 57s,Technical
TKT02349,A023,Open,1h 33m 44s,General
TKT02350,A030,Pending,2h 19m 53s,Billing
TKT02351,A032,Pending,2h 42m 15s,Technical
TKT02352,A022,Pending,0h 21m 31s,Billing
TKT02353,A044,Resolved,1h 2m 46s,Delivery
TKT02354,A048,Pending,0h 20m 9s,Technical
TKT02355,A002,Resolved,1h 8m 14s,Billing
TKT02356,A004,Resolved,0h 36m 4s,Delivery
TKT02357,A018,Pending,0h 38m 3s,Billing
TKT02358,A043,Pending,0h 4m 56s,Delivery
TKT02359,A021,Resolved,1h 45m 55s,Returns
TKT02360,A037,Open,1h 54m 36s,General
TKT02361,A029,Pending,2h 28m 20s,Billing
TKT02362,A040,Resolved,2h 22m 31s,General
TKT02363,A042,Resolved,1h 32m 23s,General
TKT02364,A003,Open,0h 20m 37s,Returns
TKT02365,A008,Open,1h 18m 20s,General
TKT02366,A025,Pending,2h 56m 52s,General
TKT02367,A025,Resolved,0h 15m 56s,Billing
TKT02368,A013,Resolved,0h 46m 13s,Billing
TKT02369,A024,Resolved,2h 27m 11s,General
TKT02370,A018,Pending,1h 50m 50s,General
TKT02371,A010,Pending,1h 59m 54s,General
TKT02372,A015,Open,0h 5m 24s,Billing
TKT02373,A035,Pending,1h 17m 43s,Delivery
TKT02374,A039,Resolved,0h 35m 38s,Returns
TKT02375,A046,Resolved,1h 44m 41s,Technical
TKT02376,A003,Open,0h 37m 26s,Delivery
TKT02377,A045,Pending,0h 19m 49s,Returns
TKT02378,A026,Pending,0h 48m 48s,Delivery
TKT02379,A047,Resolved,1h 30m 4s,Billing
TKT02380,A005,Resolved,2h 37m 53s,General
TKT02381,A041,Open,0h 48m 45s,Returns
TKT02382,A044,Resolved,0h 10m 19s,Delivery
TKT02383,A027,Resolved,2h 1m 3s,Billing
TKT02384,A028,Open,1h 37m 33s,Billing
TKT02385,A041,Resolved,1h 30m 32s,General
TKT02386,A041,Resolved,2h 13m 54s,Technical
TKT02387,A048,Resolved,1h 42m 55s,Delivery
TKT02388,A049,Resolved,0h 21m 54s,Returns
TKT02389,A003,Resolved,0h 25m 0s,Delivery
TKT02390,A019,Open,0h 52m 45s,Returns
TKT02391,A020,Resolved,1h 43m 41s,Billing
TKT02392,A036,Resolved,2h 49m 48s,General
TKT02393,A001,Resolved,0h 5m 41s,Technical
TKT02394,A038,Open,2h 29m 21s,General
TKT02395,A027,Resolved,0h 16m 52s,Returns
TKT02396,A011,Pending,0h 45m 8s,Technical
TKT02397,A032,Resolved,0h 58m 20s,Delivery
TKT02398,A006,Resolved,1h 7m 19s,Technical
TKT02399,A043,Resolved,0h 39m 48s,Billing
TKT02400,A015,Resolved,2h 45m 41s,Delivery
TKT02401,A026,Open,1h 2m 11s,Returns
TKT02402,A034,Resolved,2h 5m 34s,Returns
TKT02403,A044,Resolved,2h 51m 19s,Technical
TKT02404,A022,Resolved,2h 42m 53s,Billing
TKT02405,A009,Resolved,1h 35m 36s,Delivery
TKT02406,A009,Resolved,2h 37m 29s,Technical
TKT02407,A041,Open,2h 41m 6s,General
TKT02408,A036,Resolved,0h 26m 58s,General
TKT02409,A009,Resolved,1h 4m 15s,General
TKT02410,A024,Open,0h 59m 9s,General
TKT02411,A026,Pending,0h 45m 14s,Billing
TKT02412,A043,Resolved,1h 24m 55s,Delivery
TKT02413,A022,Resolved,0h 59m 26s,General
TKT02414,A005,Pending,2h 1m 15s,General
TKT02415,A024,Pending,1h 46m 51s,Technical
TKT02416,A008,Resolved,0h 54m 17s,Technical
TKT02417,A030,Resolved,2h 37m 23s,Delivery
TKT02418,A004,Pending,2h 5m 18s,Delivery
TKT02419,A047,Resolved,2h 54m 49s,Returns
TKT02420,A050,Resolved,2h 36m 33s,Delivery
TKT02421,A037,Resolved,2h 54m 10s,Billing
TKT02422,A023,Pending,1h 6m 37s,Technical
TKT02423,A015,Resolved,2h 7m 38s,Returns
TKT02424,A041,Open,1h 7m 12s,General
TKT02425,A012,Open,0h 27m 7s,Technical
TKT02426,A034,Resolved,0h 35m 39s,Technical
TKT02427,A008,Resolved,2h 20m 34s,Delivery
TKT02428,A020,Resolved,0h 10m 13s,Technical
TKT02429,A032,Open,1h 27m 13s,Billing
TKT02430,A038,Open,2h 48m 23s,Technical
TKT02431,A013,Open,2h 6m 7s,Technical
TKT02432,A019,Resolved,0h 17m 38s,Delivery
TKT02433,A008,Resolved,2h 25m 37s,General
TKT02434,A045,Resolved,2h 48m 28s,Billing
TKT02435,A042,Open,2h 44m 7s,Technical
TKT02436,A048,Pending,2h 15m 59s,Billing
TKT02437,A048,Resolved,2h 17m 49s,Technical
TKT02438,A010,Open,1h 59m 50s,Billing
TKT02439,A005,Resolved,1h 2m 31s,Technical
TKT02440,A014,Pending,1h 2m 36s,General
TKT02441,A029,Resolved,0h 53m 59s,Delivery
TKT02442,A004,Open,2h 50m 15s,Billing
TKT02443,A027,Resolved,2h 33m 56s,General
TKT02444,A011,Open,1h 37m 34s,Returns
TKT02445,A047,Resolved,2h 11m 4s,Billing
TKT02446,A018,Pending,1h 42m 37s,Delivery
TKT02447,A005,Open,2h 17m 2s,Returns
TKT02448,A020,Pending,1h 56m 26s,General
TKT02449,A015,Pending,2h 54m 33s,Returns
TKT02450,A011,Pending,2h 56m 5s,Billing
TKT02451,A023,Pending,0h 31m 52s,Delivery
TKT02452,A020,Resolved,1h 6m 13s,Billing
TKT02453,A035,Resolved,1h 37m 26s,General
TKT02454,A001,Resolved,1h 2m 36s,Delivery
TKT02455,A019,Resolved,0h 43m 30s,Delivery
TKT02456,A015,Resolved,2h 29m 34s,General
TKT02457,A012,Open,2h 57m 29s,Billing
TKT02458,A018,Pending,1h 20m 39s,Billing
TKT02459,A001,Resolved,2h 36m 23s,General
TKT02460,A008,Resolved,2h 19m 1s,Returns
TKT02461,A038,Resolved,1h 13m 13s,Returns
TKT02462,A012,Resolved,1h 20m 54s,Technical
TKT02463,A008,Resolved,0h 7m 23s,Returns
TKT02464,A009,Resolved,2h 9m 52s,Billing
TKT02465,A026,Pending,1h 13m 34s,General
TKT02466,A015,Open,2h 17m 38s,Billing
TKT02467,A020,Open,2h 6m 45s,Delivery
TKT02468,A020,Pending,0h 17m 45s,Returns
TKT02469,A007,Resolved,1h 11m 19s,Returns
TKT02470,A012,Pending,0h 40m 13s,Delivery
TKT02471,A016,Open,0h 33m 46s,Technical
TKT02472,A020,Resolved,1h 25m 24s,Technical
TKT02473,A008,Resolved,1h 1m 32s,General
TKT02474,A025,Pending,2h 53m 9s,Returns
TKT02475,A022,Resolved,2h 36m 5s,General
TKT02476,A049,Resolved,1h 21m 31s,Billing
TKT02477,A015,Resolved,0h 30m 28s,Billing
TKT02478,A026,Resolved,1h 52m 4s,Billing
TKT02479,A030,Pending,0h 13m 2s,Delivery
TKT02480,A007,Pending,0h 41m 21s,Delivery
TKT02481,A043,Resolved,0h 46m 13s,Billing
TKT02482,A027,Resolved,0h 7m 24s,General
TKT02483,A014,Resolved,1h 56m 11s,Returns
TKT02484,A007,Resolved,2h 27m 43s,General
TKT02485,A003,Open,2h 18m 43s,Returns
TKT02486,A041,Resolved,1h 16m 28s,Billing
TKT02487,A015,Pending,0h 51m 7s,Technical
TKT02488,A042,Resolved,1h 22m 1s,General
TKT02489,A010,Resolved,0h 31m 37s,Returns
TKT02490,A031,Resolved,2h 29m 23s,Billing
TKT02491,A024,Resolved,1h 38m 32s,Delivery
TKT02492,A045,Pending,1h 8m 33s,General
TKT02493,A034,Pending,2h 56m 6s,Returns
TKT02494,A044,Resolved,0h 50m 42s,Technical
TKT02495,A049,Resolved,1h 39m 38s,General
TKT02496,A043,Pending,0h 2m 34s,Returns
TKT02497,A042,Resolved,0h 8m 49s,General
TKT02498,A036,Pending,2h 47m 55s,Returns
TKT02499,A041,Pending,1h 54m 52s,General
TKT02500,A032,Pending,2h 35m 6s,Returns
TKT02501,A030,Resolved,1h 28m 12s,Delivery
TKT02502,A013,Open,1h 28m 49s,Delivery
TKT02503,A006,Pending,0h 58m 56s,Technical
TKT02504,A049,Resolved,1h 19m 44s,Delivery
TKT02505,A040,Open,2h 24m 8s,Technical
TKT02506,A006,Pending,0h 12m 15s,Technical
TKT02507,A047,Resolved,2h 33m 55s,Delivery
TKT02508,A039,Resolved,1h 3m 54s,Returns
TKT02509,A001,Pending,0h 26m 23s,Billing
TKT02510,A021,Open,1h 48m 32s,Billing
TKT02511,A036,Pending,0h 7m 52s,General
TKT02512,A027,Resolved,1h 22m 34s,Delivery
TKT02513,A027,Open,0h 39m 3s,Returns
TKT02514,A026,Resolved,0h 45m 56s,Delivery
TKT02515,A050,Resolved,1h 7m 55s,Billing
TKT02516,A033,Pending,0h 5m 6s,Billing
TKT02517,A023,Resolved,0h 30m 21s,Billing
TKT02518,A038,Resolved,1h 14m 16s,General
TKT02519,A048,Open,0h 34m 13s,General
TKT02520,A014,Open,0h 6m 42s,Delivery
TKT02521,A035,Pending,1h 20m 33s,Delivery
TKT02522,A004,Pending,1h 8m 11s,Billing
TKT02523,A023,Open,0h 32m 33s,Returns
TKT02524,A010,Resolved,2h 38m 20s,Returns
TKT02525,A033,Resolved,0h 22m 48s,Billing
TKT02526,A046,Open,2h 53m 12s,Billing
TKT02527,A050,Resolved,0h 23m 15s,General
TKT02528,A014,Resolved,2h 20m 51s,General
TKT02529,A040,Resolved,0h 23m 30s,Technical
TKT02530,A033,Resolved,0h 41m 25s,Delivery
TKT02531,A016,Pending,2h 21m 59s,Returns
TKT02532,A020,Open,0h 18m 4s,Delivery
TKT02533,A005,Open,1h 51m 55s,Billing
TKT02534,A037,Pending,2h 32m 9s,General
TKT02535,A001,Pending,0h 6m 13s,Billing
TKT02536,A042,Open,1h 3m 29s,Delivery
